City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,philadelphia,39.9523,-75.1638,9.94,55,75,6.69,US,1699757038
1,revda,56.801,59.9303,1.48,98,100,1.8,RU,1699757178
2,suileng,47.25,127.0833,-7.9,79,14,2.76,CN,1699757178
3,waitangi,-43.9535,-176.5597,14.34,77,0,0.89,NZ,1699757179
4,ilulissat,69.2167,-51.1,-6.99,49,75,8.23,GL,1699757180
5,colonia,50.9333,6.95,5.97,91,20,1.54,DE,1699756927
6,port-aux-francais,-49.35,70.2167,2.73,72,79,12.12,TF,1699757181
7,anadyr,64.75,177.4833,-3.72,79,75,10.0,RU,1699757182
8,blackmans bay,-43.0167,147.3167,15.29,55,92,6.53,AU,1699757182
9,whitehorse,60.7161,-135.0538,-0.57,93,75,2.06,CA,1699757037
10,albany,42.6001,-73.9662,2.23,67,4,0.89,US,1699756918
11,pathalgaon,22.5667,83.4667,23.46,50,0,1.06,IN,1699757184
12,bethel,41.3712,-73.414,5.27,70,0,1.54,US,1699757185
13,bentiu,9.2333,29.8333,23.52,76,89,1.77,SS,1699757186
14,ingeniero guillermo n. juarez,-23.9,-61.85,36.77,27,2,6.41,AR,1699757186
15,west island,-12.1568,96.8225,27.99,74,100,4.63,CC,1699757187
16,ancud,-41.8697,-73.8203,6.58,67,8,5.47,CL,1699757188
17,sihanoukville,10.6093,103.5296,29.97,74,40,4.63,KH,1699757188
18,adamstown,-25.066,-130.1015,22.89,81,4,4.85,PN,1699757189
19,lerwick,60.1545,-1.1494,8.65,58,99,2.78,GB,1699757190
20,villa gesell,-37.2639,-56.973,15.03,57,0,1.39,AR,1699757191
21,clarksburg,39.2807,-80.3445,5.19,87,0,2.57,US,1699757192
22,longyearbyen,78.2186,15.6401,-4.09,86,100,3.6,SJ,1699757193
23,sao joao da barra,-21.6403,-41.0511,23.62,89,1,6.46,BR,1699757193
24,brisas de zicatela,15.8369,-97.0419,28.29,57,0,0.0,MX,1699757194
25,levelland,33.5873,-102.378,7.88,73,31,4.23,US,1699757195
26,trenggalek,-8.05,111.7167,30.83,58,50,3.22,ID,1699757195
27,emerald,-23.5333,148.1667,31.3,35,88,3.41,AU,1699757196
28,new norfolk,-42.7826,147.0587,15.95,71,95,4.84,AU,1699757197
29,yanam,16.7333,82.2167,27.91,60,86,2.31,IN,1699757199
30,constantia,44.1833,28.65,8.38,65,1,14.42,RO,1699757046
31,mount pearl,47.5166,-52.7813,1.85,96,75,8.23,CA,1699757193
32,margaret river,-33.95,115.0667,22.39,45,93,3.38,AU,1699756998
33,daru,-9.0763,143.2092,27.51,66,48,4.79,PG,1699757201
34,port mathurin,-19.6833,63.4167,24.99,79,34,2.43,MU,1699757202
35,dudinka,69.4058,86.1778,-7.43,96,100,4.02,RU,1699757202
36,grytviken,-54.2811,-36.5092,2.68,93,68,0.49,GS,1699757203
37,bredasdorp,-34.5322,20.0403,14.53,66,91,2.33,ZA,1699757204
38,utrik,11.2278,169.8474,26.62,87,100,11.05,MH,1699757204
39,dunedin,-45.8742,170.5036,20.45,40,100,3.13,NZ,1699757205
40,papatowai,-46.5619,169.4708,19.26,50,71,3.58,NZ,1699757206
41,southside,33.9245,-86.0225,12.49,88,100,3.6,US,1699757207
42,ushuaia,-54.8,-68.3,2.81,70,0,4.12,AR,1699757207
43,jalai nur,49.45,117.7,-8.39,68,7,4.06,CN,1699757208
44,altai,46.3722,96.2583,-8.06,55,100,1.61,MN,1699757208
45,college,64.8569,-147.8028,-8.82,79,100,1.54,US,1699757209
46,puerto ayora,-0.7393,-90.3518,23.08,97,68,3.13,EC,1699757210
47,vorkuta,67.5,64.0,-4.27,96,100,4.94,RU,1699757210
48,olonkinbyen,70.9221,-8.7187,-1.51,83,99,6.95,SJ,1699757211
49,stanley,54.868,-1.6985,4.6,96,40,1.03,GB,1699757212
50,thompson,55.7435,-97.8558,1.09,80,100,4.63,CA,1699757212
51,st. john's,47.5649,-52.7093,2.31,96,75,8.23,CA,1699757048
52,arteaga,18.4667,-102.4167,18.45,94,66,1.28,MX,1699757214
53,shihezi,44.3,86.0333,4.06,80,97,2.25,CN,1699757214
54,kristiansund,63.1115,7.732,2.36,69,0,3.09,NO,1699757215
55,wailua homesteads,22.0669,-159.378,27.24,78,20,6.17,US,1699757216
56,port saint john's,-31.6229,29.5448,19.57,73,70,5.72,ZA,1699757217
57,atafu village,-8.5421,-172.5159,29.33,70,96,2.82,TK,1699757217
58,puerto natales,-51.7236,-72.4875,0.89,83,6,2.01,CL,1699757218
59,skhira,34.2992,10.07,12.82,58,12,3.0,TN,1699757218
